Year,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2020,Arizona,Male,15-24 years,22.0,863.0,22.0,0.0
2020,Arizona,Male,25-34 years,78.0,1515.0,68.0,0.0
2020,Arizona,Male,35-44 years,179.0,1803.0,136.0,0.0
2020,Arizona,Male,45-54 years,405.0,2837.0,337.0,0.0
2020,Arizona,Male,55-64 years,867.0,6159.0,839.0,15.0
2020,Arizona,Male,65-74 years,1305.0,9254.0,1313.0,19.0
2020,Arizona,Male,75-84 years,1547.0,10737.0,1561.0,14.0
2020,Arizona,Male,85 years and over,1098.0,8881.0,1100.0,11.0
2020,Arizona,Female,Under 1 year,0.0,177.0,0.0,0.0
2020,Arizona,Female,1-4 years,0.0,45.0,0.0,0.0
2020,Arizona,Female,5-14 years,0.0,69.0,0.0,0.0
2020,Arizona,Female,15-24 years,0.0,258.0,10.0,0.0
2020,Arizona,Female,25-34 years,45.0,597.0,41.0,0.0
2020,Arizona,Female,35-44 years,100.0,867.0,69.0,0.0
2020,Arizona,Female,45-54 years,188.0,1608.0,193.0,0.0
2020,Arizona,Female,55-64 years,487.0,3720.0,493.0,11.0
2020,Arizona,Female,65-74 years,838.0,6473.0,891.0,19.0
2020,Arizona,Female,75-84 years,1033.0,8942.0,1072.0,15.0
2020,Arizona,Female,85 years and over,1115.0,11912.0,1054.0,10.0
2021,Arizona,Male,Under 1 year,0.0,225.0,0.0,0.0
2021,Arizona,Male,1-4 years,0.0,59.0,0.0,0.0
2021,Arizona,Male,5-14 years,0.0,80.0,0.0,0.0
2021,Arizona,Male,15-24 years,35.0,847.0,21.0,0.0
2021,Arizona,Male,35-44 years,360.0,2229.0,265.0,0.0
2021,Arizona,Male,45-54 years,840.0,3368.0,634.0,0.0
2021,Arizona,Male,55-64 years,1463.0,6698.0,1189.0,0.0
2021,Arizona,Male,65-74 years,2120.0,10396.0,1837.0,0.0
2021,Arizona,Male,75-84 years,2166.0,11429.0,1896.0,0.0
2021,Arizona,Male,85 years and over,1151.0,8759.0,1094.0,0.0
2021,Arizona,Female,Under 1 year,0.0,203.0,0.0,0.0
2021,Arizona,Female,1-4 years,0.0,48.0,0.0,0.0
2021,Arizona,Female,5-14 years,0.0,68.0,0.0,0.0
2021,Arizona,Female,15-24 years,31.0,325.0,29.0,0.0
2021,Arizona,Female,25-34 years,108.0,662.0,81.0,0.0
2021,Arizona,Female,35-44 years,207.0,1078.0,172.0,0.0
2021,Arizona,Female,45-54 years,447.0,1986.0,364.0,0.0
2021,Arizona,Female,55-64 years,941.0,4199.0,838.0,0.0
2021,Arizona,Female,65-74 years,1437.0,7177.0,1221.0,0.0
2021,Arizona,Female,75-84 years,1427.0,9548.0,1230.0,0.0
2021,Arizona,Female,85 years and over,1148.0,11322.0,959.0,0.0
2022,Arizona,Male,Under 1 year,0.0,278.0,0.0,0.0
2022,Arizona,Male,1-4 years,0.0,57.0,0.0,0.0
2022,Arizona,Male,5-14 years,0.0,73.0,0.0,0.0
2022,Arizona,Male,15-24 years,16.0,774.0,22.0,0.0
2022,Arizona,Male,25-34 years,50.0,1522.0,49.0,0.0
2022,Arizona,Male,35-44 years,77.0,2052.0,108.0,0.0
2022,Arizona,Male,45-54 years,182.0,2812.0,220.0,0.0
2022,Arizona,Male,55-64 years,453.0,5570.0,490.0,15.0
2022,Arizona,Male,65-74 years,837.0,8935.0,911.0,15.0
2022,Arizona,Male,75-84 years,1019.0,10760.0,1060.0,11.0
2022,Arizona,Male,85 years and over,791.0,8422.0,780.0,0.0
2022,Arizona,Female,Under 1 year,0.0,201.0,0.0,0.0
2022,Arizona,Female,1-4 years,0.0,44.0,0.0,0.0
2022,Arizona,Female,5-14 years,0.0,56.0,0.0,0.0
2021,California,Female,25-34 years,263.0,2210.0,209.0,0.0
2022,Arizona,Female,15-24 years,0.0,253.0,0.0,0.0
2022,Arizona,Female,25-34 years,33.0,576.0,35.0,0.0
2022,Arizona,Female,35-44 years,65.0,872.0,65.0,0.0
2022,Arizona,Female,45-54 years,138.0,1483.0,135.0,0.0
2022,Arizona,Female,55-64 years,289.0,3460.0,374.0,0.0
2022,Arizona,Female,65-74 years,572.0,6460.0,648.0,13.0
2022,Arizona,Female,75-84 years,704.0,9147.0,785.0,22.0
2022,Arizona,Female,85 years and over,660.0,11267.0,665.0,17.0
2023,Arizona,Male,Under 1 year,0.0,154.0,0.0,0.0
2023,Arizona,Male,1-4 years,0.0,44.0,0.0,0.0
2023,Arizona,Male,5-14 years,0.0,70.0,0.0,0.0
2023,Arizona,Male,15-24 years,0.0,468.0,0.0,0.0
2023,Arizona,Male,25-34 years,0.0,1036.0,29.0,0.0
2023,Arizona,Male,35-44 years,0.0,1352.0,51.0,0.0
2023,Arizona,Male,45-54 years,19.0,1771.0,82.0,0.0
2023,Arizona,Male,55-64 years,44.0,3578.0,202.0,0.0
2023,Arizona,Male,65-74 years,116.0,5850.0,365.0,0.0
2023,Arizona,Male,75-84 years,183.0,7271.0,487.0,0.0
2023,Arizona,Male,85 years and over,191.0,5673.0,338.0,0.0
2023,Arizona,Female,Under 1 year,0.0,140.0,0.0,0.0
2023,Arizona,Female,1-4 years,0.0,24.0,0.0,0.0
2023,Arizona,Female,5-14 years,0.0,48.0,0.0,0.0
2023,Arizona,Female,15-24 years,0.0,173.0,0.0,0.0
2023,Arizona,Female,25-34 years,0.0,376.0,14.0,0.0
2023,Arizona,Female,35-44 years,0.0,586.0,34.0,0.0
2023,Arizona,Female,45-54 years,10.0,955.0,52.0,0.0
2023,Arizona,Female,55-64 years,39.0,2098.0,144.0,0.0
2023,Arizona,Female,65-74 years,75.0,4217.0,278.0,0.0
2023,Arizona,Female,75-84 years,144.0,6286.0,366.0,0.0
2023,Arizona,Female,85 years and over,180.0,7593.0,304.0,0.0
2020,Arkansas,Male,Under 1 year,0.0,147.0,0.0,0.0
2020,Arkansas,Male,1-4 years,0.0,27.0,0.0,0.0
2020,Arkansas,Male,5-14 years,0.0,39.0,0.0,0.0
2020,Arkansas,Male,15-24 years,0.0,304.0,0.0,0.0
2020,Arkansas,Male,25-34 years,17.0,513.0,16.0,0.0
2020,Arkansas,Male,35-44 years,34.0,773.0,48.0,0.0
2020,Arkansas,Male,45-54 years,108.0,1325.0,99.0,0.0
2020,Arkansas,Male,55-64 years,263.0,3291.0,298.0,15.0
2020,Arkansas,Male,65-74 years,475.0,4744.0,496.0,13.0
2020,Arkansas,Male,75-84 years,642.0,4913.0,631.0,0.0
2020,Arkansas,Male,85 years and over,505.0,3610.0,483.0,0.0
2020,Arkansas,Female,Under 1 year,0.0,110.0,0.0,0.0
